Symbol,Date,Open,High,Low,Close,Volume
ACU,02-Jan-1996,4,4,3.87,3.87,400
AE,02-Jan-1996,7.5,7.88,7.5,7.63,13100
AMS,02-Jan-1996,1.44,1.5,1.44,1.5,3800
AND,02-Jan-1996,6.12,6.19,6,6.12,25000
APT,02-Jan-1996,3.37,3.37,3.37,3.37,16
BCV,02-Jan-1996,22.75,22.87,22.75,22.75,2400
BDL,02-Jan-1996,2,2,2,2,1200
BDR,02-Jan-1996,9.75,9.75,9.62,9.62,35800
BHB,02-Jan-1996,9.1667,9.1667,9.1667,9.1667,0
BRN,02-Jan-1996,2.642,2.642,2.642,2.642,0
BTI,02-Jan-1996,17.87,18.12,17.87,18,25700
BVX,02-Jan-1996,1.5,1.5,1.5,1.5,2300
CAW,02-Jan-1996,1.25,1.38,1.25,1.31,32600
CCF,02-Jan-1996,2.375,2.375,2.375,2.375,0
CEF,02-Jan-1996,4.5,4.62,4.44,4.62,53300
CET,02-Jan-1996,18.47,18.69,18.34,18.69,8924
CKX,02-Jan-1996,2.13,2.13,2.13,2.13,0
CLM,02-Jan-1996,133.92,136,133.92,133.92,28800
CMD,02-Jan-1996,16.9,17.5,16.25,17.5,13900
CMT,02-Jan-1996,1.06,1.06,1.06,1.06,4100
CNY,02-Jan-1996,9.12,9.25,9,9,19500
CPI,02-Jan-1996,2.747,2.747,2.747,2.747,0
CRF,02-Jan-1996,128,128,128,128,0
CTO,02-Jan-1996,17,17,17,17,0
CUO,02-Jan-1996,6,6,5.94,6,10000
CVM,02-Jan-1996,35.9,35.9,31.3,33.8,78000
CVR,02-Jan-1996,14.62,14.62,14.62,14.62,200
CVU,02-Jan-1996,3.19,3.75,3.19,3.19,2166
CYB,02-Jan-1996,9.37,9.37,9.37,9.37,500
DIT,02-Jan-1996,18,18,18,18,0
DMF,02-Jan-1996,9.31,9.37,9.25,9.37,21000
DXR,02-Jan-1996,6.87,6.87,6.62,6.62,2600
ECF,02-Jan-1996,9.5,9.5,9.44,9.44,13900
ESP,02-Jan-1996,6.435,6.5,6.435,6.5,600
EZM,02-Jan-1996,9.22,9.22,9.22,9.22,515
FAX,02-Jan-1996,9.25,9.25,9.19,9.25,138200
FRD,02-Jan-1996,3.12,3.12,3.03,3.12,1530
FWV,02-Jan-1996,13.16,13.16,13.16,13.16,165
GBR,02-Jan-1996,100,100,100,100,70
GML,02-Jan-1996,3,3,3,3,500
GRC,02-Jan-1996,4.9971,5.161,4.9971,5.161,4800
GRI,02-Jan-1996,3.62,3.62,3.62,3.62,1100
GRN,02-Jan-1996,38.75,38.75,35,35,17900
GSS,02-Jan-1996,5.19,5.38,5.19,5.38,5900
GV,02-Jan-1996,0.31,0.31,0.25,0.25,12300
GVP,02-Jan-1996,14,14,14,14,800
HH,02-Jan-1996,1.05,1.06,1.05,1.06,106400
HMG,02-Jan-1996,6.66,6.66,6.66,6.66,0
HRT,02-Jan-1996,4.37,4.5,4.37,4.5,1900
IAF,02-Jan-1996,8.19,8.5,8.19,8.5,83800
IF,02-Jan-1996,10.12,10.62,10.12,10.62,16600
IGC,02-Jan-1996,39.1,40.6,39.1,40.6,500
IHT,02-Jan-1996,5.5,5.75,5.5,5.75,2500
IMO,02-Jan-1996,4.023,4.063,4.013,4.063,330000
INS,02-Jan-1996,2.12,2.12,2.12,2.12,200
IOT,02-Jan-1996,3.267,3.267,3.267,3.267,200
JOB,02-Jan-1996,2.73,2.73,2.73,2.73,2656
LGL,02-Jan-1996,23.75,23.94,23.75,23.94,300
LNG,02-Jan-1996,45,45,45,45,0
MCF,02-Jan-1996,0.5,0.5,0.5,0.5,0
MDY,02-Jan-1996,40.91,41.3,40.91,41.26,242500
MHE,02-Jan-1996,11.25,11.25,11.12,11.12,3800
MSN,02-Jan-1996,1.94,2.25,1.94,2,92600
MVF,02-Jan-1996,8.75,8.87,8.69,8.81,134800
MXC,02-Jan-1996,1.82,1.82,1.82,1.82,0
MZA,02-Jan-1996,12,12.12,12,12.12,6000
NEN,02-Jan-1996,2.0833,2.0833,2.0833,2.0833,0
NHC,02-Jan-1996,24.63,24.63,24.63,24.63,100
NOM,02-Jan-1996,12.25,12.25,12.12,12.12,800
NTN,02-Jan-1996,4.5,4.56,4.31,4.31,45600
PCG-A,02-Jan-1996,20.87,21.12,20.87,21.12,1200
PCG-B,02-Jan-1996,19.12,19.12,19,19,2300
PCG-C,02-Jan-1996,17.25,17.25,17.25,17.25,400
PCG-D,02-Jan-1996,17.25,17.25,17.25,17.25,200
PCG-E,02-Jan-1996,17.75,17.75,17.25,17.62,3500
PCG-G,02-Jan-1996,17.12,17.12,17.12,17.12,0
PCG-H,02-Jan-1996,15.5,15.5,15.5,15.5,0
PGF,02-Jan-1996,34.76,35.92,34.36,35.92,6775
PHF,02-Jan-1996,17.5,17.62,17.25,17.25,9400
PRK,02-Jan-1996,45.47,45.72,44.75,45.72,21629
PTN,02-Jan-1996,20,20,20,20,0
PW,02-Jan-1996,7.37,7.37,7.12,7.12,1100
PZA,02-Jan-1996,3.5,3.69,3.5,3.69,3200
SBI,02-Jan-1996,10.25,10.37,10.25,10.37,15700
SCC,02-Jan-1996,3.04,3.04,3.04,3.04,0
SCE-B,02-Jan-1996,14.5,14.5,14.5,14.5,0
SCE-C,02-Jan-1996,15,15,15,15,0
SCE-D,02-Jan-1996,14.75,15,14.75,15,1300
SCE-E,02-Jan-1996,16.75,17,16.75,17,2400
SPY,02-Jan-1996,57.13,57.8133,57.0719,57.8133,514400
SSY,02-Jan-1996,3.25,3.25,3.25,3.25,500
STS,02-Jan-1996,5.663,5.874,5.624,5.874,27400
SVT,02-Jan-1996,4.17,4.39,4.17,4.28,2484
TGC,02-Jan-1996,5.11,5.11,5.11,5.11,209
TMP,02-Jan-1996,18.48,18.48,18.48,18.48,165
TOF,02-Jan-1996,0.75,0.87,0.75,0.87,4000
TRT,02-Jan-1996,2.5,2.5,2.5,2.5,0
UQM,02-Jan-1996,3.31,3.5,3.31,3.37,11700
UUU,02-Jan-1996,2.25,2.325,2.25,2.325,8900
UWN,02-Jan-1996,4.5,4.5,4.13,4.5,1066
VCF,02-Jan-1996,12.25,12.37,12.25,12.37,1500
VFL,02-Jan-1996,12.25,12.25,12.12,12.12,1000
VGZ,02-Jan-1996,33.8,33.8,32.4,32.8,1100
VII,02-Jan-1996,1.25,1.5,1.25,1.5,1600
VKI,02-Jan-1996,11.62,11.62,11.5,11.62,8200
VMM,02-Jan-1996,12.87,13.12,12.87,13.12,7600
VSR,02-Jan-1996,3.56,3.56,3.56,3.56,500
VYM,02-Jan-1996,11.75,12,11.75,12,6000
WGA,02-Jan-1996,2.43,2.43,2.38,2.38,4150
WTT,02-Jan-1996,8.25,8.75,7.5,7.81,451200
